species,sci_name,mass,trophic_niche1,trophic_niche2,Breeding.Biome,start_abd,end_abd,abd_change,biomass_start,biomass_end,biomass_change
Common Gallinule,Gallinula galeata,339.6,Omnivore,Terrestrial,Wetland,781274.616015395,481307.691297803,-299966.924717592,265320859.59882817,163452091.96473393,-101868767.63409424
Common Goldeneye,Bucephala clangula,918.6,Aquatic predator,Aquatic,Wetland,1046068.03699238,1471890.07606675,425822.03907437006,960918098.7812003,1352078223.8749168,391160125.0937165
Common Grackle,Quiscalus quiscula,105.2,Omnivore,Terrestrial,Habitat Generalist,142862540.128902,59995385.0442372,-82867155.08466479,15029139221.56049,6311514506.653753,-8717624714.906736
Common Ground-Dove,Columbina passerina,35.4,Omnivore,Terrestrial,Aridlands,2641904.48131564,1964616.61924055,-677287.8620750897,93523418.63857365,69547428.32111546,-23975990.317458183
Common Loon,Gavia immer,4956.8,Aquatic predator,Aquatic,Wetland,831004.937732684,1167918.1223488,336913.1846161161,4119125275.353368,5789136548.858532,1670011273.5051641
Common Merganser,Mergus merganser,1451,Aquatic predator,Aquatic,Wetland,1464056.89415093,1260858.88264126,-203198.01150966994,2124346553.4129994,1829506238.7124684,-294840314.700531
Common Murre,Uria aalge,991.9,Aquatic predator,Aquatic,Coasts,9370498.30077031,9317835.59483966,-52662.705930650234,9294597264.534071,9242361126.52146,-52236138.01261139
Common Nighthawk,Chordeiles minor,79.3,Invertivore,Aerial,Habitat Generalist,46548442.5467003,20494361.6866047,-26054080.860095598,3691291493.9533334,1625202881.7477527,-2066088612.2055807
Common Poorwill,Phalaenoptilus nuttallii,48.3,Invertivore,Generalist,Aridlands,1168872.68839173,1383598.7226636,214726.03427187004,56456550.84932055,66827818.30465188,10371267.455331326
Common Raven,Corvus corax,928,Omnivore,Terrestrial,Habitat Generalist,3345949.14783999,10049802.7759868,6703853.62814681,3105040809.195511,9326216976.115751,6221176166.92024
Common Redpoll,Acanthis flammea,13,Granivore,Generalist,Arctic Tundra,68159752.0438007,39656457.9538094,-28503294.089991294,886076776.569409,515533953.39952224,-370542823.16988677
Common Tern,Sterna hirundo,129.2,Aquatic predator,Aerial,Wetland,1063460.6232178,442920.425192471,-620540.1980253289,137399112.51973975,57225318.93486725,-80173793.5848725
Common Yellowthroat,Geothlypis trichas,9.5,Invertivore,Insessorial,Habitat Generalist,108141996.454907,72730528.2931465,-35411468.161760494,1027348966.3216165,690940018.7848918,-336408947.5367247
Connecticut Warbler,Oporornis agilis,13.3,Invertivore,Terrestrial,Boreal Forest,3844830.37290502,1606491.70789448,-2238338.66501054,51136243.95963677,21366339.714996587,-29769904.244640183
Cooper's Hawk,Accipiter cooperii,429.7,Vertivore,Aerial,Forest Generalist,259021.804544283,1058599.66654172,799577.8619974371,111301669.41267839,454880276.7129771,343578607.3002987
Cordilleran Flycatcher,Empidonax occidentalis,11.6,Invertivore,Insessorial,Western Forest,2223580.09912646,1971050.46588201,-252529.63324444997,25793529.149866935,22864185.404231317,-2929343.7456356175
Costa's Hummingbird,Calypte costae,3.1,Nectarivore,Aerial,Aridlands,1673640.80870373,1631532.24860561,-42108.56009812001,5188286.506981564,5057749.970677392,-130536.53630417213
Couch's Kingbird,Tyrannus couchii,39,Invertivore,Insessorial,Aridlands,8430.15434087513,450093.932243406,441663.7779025309,328776.01929413003,17553663.357492834,17224887.338198703
Crested Caracara,Caracara plancus,1078.6,Omnivore,Terrestrial,Aridlands,10939.8243999273,184491.700988221,173551.8765882937,11799694.597761584,198992748.68589517,187193054.0881336
Crissal Thrasher,Toxostoma crissale,62.7,Invertivore,Terrestrial,Aridlands,100511.475464585,83692.2899422534,-16819.18552233161,6302069.51162948,5247506.5793792885,-1054562.9322501915
Curve-billed Thrasher,Toxostoma curvirostre,80.5,Invertivore,Terrestrial,Aridlands,1302382.48985958,1031217.2466144,-271165.2432451801,104841790.4336962,83012988.35245919,-21828802.081237003
Dark-eyed Junco,Junco hyemalis,19.5,Granivore,Generalist,Forest Generalist,376268555.546076,207802903.265863,-168465652.280213,7337236833.148482,4052156613.6843286,-3285080219.464154
Dickcissel,Spiza americana,26.2,Omnivore,Terrestrial,Grassland,35565805.5296754,31476076.0657971,-4089729.4638783,931824104.8774955,824673192.923884,-107150911.9536115
Double-crested Cormorant,Nannopterum auritum,1806.5,Aquatic predator,Aquatic,Wetland,121679.458680248,799488.289237081,677808.830556833,219813942.105868,1444275594.5067868,1224461652.4009187
Dovekie,Alle alle,180.7,Aquatic predator,Aquatic,Coasts,1936.70791591052,1156.95486711638,-779.7530487941399,349963.1204050309,209061.74448792986,-140901.37591710105
Downy Woodpecker,Dryobates pubescens,25.6,Invertivore,Insessorial,Forest Generalist,12959088.1173834,13242562.1569677,283474.03958429955,331752655.8050151,339009591.2183731,7256935.413358033
Dunlin,Calidris alpina,51.9,Aquatic predator,Terrestrial,Arctic Tundra,3861145.19206017,1415672.51327055,-2445472.6787896203,200393435.46792284,73473403.43874153,-126920032.0291813
Dusky Flycatcher,Empidonax oberholseri,10.4,Invertivore,Insessorial,Western Forest,11195876.4390436,8533197.88979803,-2662678.54924557,116437114.96605344,88745258.05389951,-27691856.91215393
Dusky Grouse,Dendragapus obscurus,1047.3,Herbivore terrestrial,Generalist,Western Forest,177435.526580818,348818.846694681,171383.32011386298,185828226.9880907,365317978.1433394,179489751.1552487
Eared Grebe,Podiceps nigricollis,412.4,Aquatic predator,Aquatic,Wetland,1218223.69634292,2302184.43723686,1083960.74089394,502395452.37182015,949420861.916481,447025409.54466087
Eastern Bluebird,Sialia sialis,27.5,Invertivore,Insessorial,Eastern Forest,11113575.1969783,22026325.5535681,10912750.356589798,305623317.91690326,605723952.7231227,300100634.80621946
Eastern Kingbird,Tyrannus tyrannus,39.9,Invertivore,Insessorial,Grassland,41652400.8590326,24083810.9833214,-17568589.875711203,1661930794.2754006,960944058.2345238,-700986736.0408769
Eastern Meadowlark,Sturnella magna,91.8,Invertivore,Terrestrial,Grassland,94515446.2966317,20572322.2851187,-73943124.011513,8676517970.030788,1888539185.7738965,-6787978784.256892
Eastern Phoebe,Sayornis phoebe,19.7,Invertivore,Insessorial,Eastern Forest,29760967.7939359,36162837.0173609,6401869.223425005,586291065.5405372,712407889.2420098,126116823.70147252
Eastern Screech-Owl,Megascops asio,180,Invertivore,Insessorial,Eastern Forest,703177.890326885,484236.104884394,-218941.78544249106,126572020.25883931,87162498.87919092,-39409521.37964839
Eastern Towhee,Pipilo erythrophthalmus,40,Omnivore,Generalist,Eastern Forest,51676537.4180183,27806086.7058343,-23870450.712183997,2067061496.7207317,1112243468.233372,-954818028.4873598
Eastern Whip-poor-will,Antrostomus vociferus,53.3,Invertivore,Generalist,Eastern Forest,5660937.23724024,1569788.15689902,-4091149.08034122,301727954.74490476,83669708.76271777,-218058245.98218697
Eastern Wood-Pewee,Contopus virens,13.9,Invertivore,Insessorial,Eastern Forest,11257528.0832205,6048560.22023242,-5208967.862988081,156479640.35676497,84074987.06123063,-72404653.29553434
Emperor Goose,Anser canagicus,2136.5,Omnivore,Terrestrial,Coasts,130429.10850146,99881.7112627251,-30547.39723873489,278661790.3133693,213397276.1128122,-65264514.20055708
Eurasian Collared-Dove,Streptopelia decaocto,149,Omnivore,Terrestrial,Introduced,190.644493774931,37176396.1225533,37176205.47805952,28406.02957246472,5539283022.260441,5539254616.230868
Eurasian Tree Sparrow,Passer montanus,21.4,Granivore,Terrestrial,Introduced,15939.2135807103,225036.644537652,209097.4309569417,341099.1706272004,4815784.193105753,4474685.022478553
European Starling,Sturnus vulgaris,77.1,Omnivore,Insessorial,Introduced,168803046.987016,85637490.090008,-83165556.89700799,13014714922.698933,6602650485.939617,-6412064436.7593155
Evening Grosbeak,Coccothraustes vespertinus,57.3,Omnivore,Insessorial,Boreal Forest,29683044.1760077,2874408.97822639,-26808635.19778131,1700838431.2852411,164703634.45237216,-1536134796.832869
Ferruginous Hawk,Buteo regalis,1437.2,Vertivore,Generalist,Grassland,76524.113815471,116927.465784753,40403.351969282,109980456.37559493,168048153.82584703,58067697.4502521
Field Sparrow,Spizella pusilla,12.5,Granivore,Generalist,Eastern Forest,24587356.8560646,8249549.45616498,-16337807.399899619,307341960.7008075,103119368.20206225,-204222592.49874526
Fish Crow,Corvus ossifragus,284.6,Omnivore,Terrestrial,Habitat Generalist,383898.963168635,495191.003798961,111292.04063032602,109257644.91779353,140931359.68118432,31673714.763390794
Forster's Tern,Sterna forsteri,149,Aquatic predator,Aerial,Wetland,218446.115549859,128285.849784193,-90160.26576566602,32548471.216928992,19114591.617844757,-13433879.599084236
Fox Sparrow,Passerella iliaca,33.3,Omnivore,Generalist,Forest Generalist,56633998.2196478,32499699.590146,-24134298.6295018,1885912140.7142715,1082239996.3518617,-803672144.3624098
Franklin's Gull,Leucophaeus pipixcan,280,Omnivore,Generalist,Wetland,5228402.6101879,2481860.76346478,-2746541.84672312,1463952730.852612,694921013.7701384,-769031717.0824736
Fulvous Whistling-Duck,Dendrocygna bicolor,756.4,Omnivore,Terrestrial,Wetland,25768.9080890408,158116.234242004,132347.32615296319,19491602.07855046,119599119.58065182,100107517.50210136
Gadwall,Mareca strepera,915.6,Herbivore aquatic,Aquatic,Wetland,1665765.85877201,4158381.17831419,2492615.31954218,1525175220.2916524,3807413806.8644724,2282238586.5728197
Gambel's Quail,Callipepla gambelii,166,Omnivore,Terrestrial,Aridlands,5788575.3029244,5196812.62349725,-591762.6794271506,960903500.2854505,862670895.5005435,-98232604.78490698
Gila Woodpecker,Melanerpes uropygialis,64.7,Omnivore,Insessorial,Aridlands,705253.451744992,586544.936146882,-118708.51559811004,45629898.32790099,37949457.36870327,-7680440.959197722
Gilded Flicker,Colaptes chrysoides,111,Invertivore,Terrestrial,Aridlands,274118.022332674,189243.585250998,-84874.437081676,30427100.478926815,21006037.962860778,-9421062.516066037
Glaucous Gull,Larus hyperboreus,1529,Omnivore,Generalist,Coasts,1158755.99513078,521284.932573335,-637471.0625574449,1771737916.5549624,797044661.9046292,-974693254.6503332
Glaucous-winged Gull,Larus glaucescens,1056.5,Aquatic predator,Generalist,Coasts,533895.661717154,448938.97141789,-84956.69029926398,564060766.6041732,474304023.30300075,-89756743.30117244
Glossy Ibis,Plegadis falcinellus,626.6,Aquatic predator,Terrestrial,Wetland,8265.59292825833,61826.951249536,53561.35832127767,5179220.528846669,38740767.65295926,33561547.12411259
Golden Eagle,Aquila chrysaetos,4248,Vertivore,Aerial,Habitat Generalist,142742.096052364,149321.391782669,6579.295730304992,606368424.0304424,634317272.2927779,27948848.26233554
Golden-crowned Kinglet,Regulus satrapa,6.2,Invertivore,Insessorial,Forest Generalist,171149782.174254,132066624.841037,-39083157.333216995,1061128649.4803748,818813074.0144295,-242315575.46594536
Golden-crowned Sparrow,Zonotrichia atricapilla,32,Omnivore,Generalist,Arctic Tundra,9107618.57699861,7477072.49888624,-1630546.0781123703,291443794.4639555,239266319.96435967,-52177474.49959585
Golden-fronted Woodpecker,Melanerpes aurifrons,80.8,Omnivore,Insessorial,Aridlands,1148530.61819485,774380.612594201,-374150.00560064893,92801273.95014387,62569953.49761144,-30231320.452532433
Golden-winged Warbler,Vermivora chrysoptera,8.7,Invertivore,Insessorial,Eastern Forest,1128871.31581101,369336.210510729,-759535.1053002811,9821180.447555786,3213225.031443342,-6607955.416112443
Grace's Warbler,Setophaga graciae,8.1,Invertivore,Insessorial,Western Forest,4727388.60070207,1385939.05016657,-3341449.5505354996,38291847.665686764,11226106.306349218,-27065741.359337546
Grasshopper Sparrow,Ammodramus savannarum,17.6,Invertivore,Generalist,Grassland,99872206.9432815,29599684.5981894,-70272522.3450921,1757750842.2017546,520954448.9281335,-1236796393.273621
Gray Catbird,Dumetella carolinensis,35.3,Invertivore,Insessorial,Eastern Forest,28817019.1410869,29595119.321687,778100.180600103,1017240775.6803675,1044707712.055551,27466936.375183582
Gray Flycatcher,Empidonax wrightii,12.3,Invertivore,Insessorial,Western Forest,1268700.08662324,3384726.27060462,2116026.1839813804,15605011.065465853,41632133.12843683,26027122.06297098
Gray Kingbird,Tyrannus dominicensis,46.5,Omnivore,Insessorial,Eastern Forest,24484.6988994576,25248.3728229543,763.6739234967026,1138538.4988247782,1174049.336267375,35510.837442596676
Gray Partridge,Perdix perdix,405.3,Omnivore,Terrestrial,Introduced,1247779.89755826,802088.629785427,-445691.267772833,505725192.4803628,325086521.65203357,-180638670.8283292
Gray Vireo,Vireo vicinior,12.8,Invertivore,Insessorial,Western Forest,133097.45604134,731364.978012429,598267.521971089,1703647.437329152,9361471.718559092,7657824.28122994
Gray-cheeked Thrush,Catharus minimus,31.6,Invertivore,Terrestrial,Boreal Forest,46562875.858107,45418659.8423992,-1144216.0157077983,1471386877.1161814,1435229651.019815,-36157226.096366405
Great Black-backed Gull,Larus marinus,1649.7,Omnivore,Terrestrial,Wetland,393879.918293342,139798.476348671,-254081.44194467098,649783701.2085263,230625546.43240258,-419158154.77612364
Great Blue Heron,Ardea herodias,2523.4,Aquatic predator,Terrestrial,Wetland,483505.720052717,648265.218224036,164759.49817131902,1220078333.9810262,1635832451.6665325,415754117.68550634
Great Crested Flycatcher,Myiarchus crinitus,32.1,Invertivore,Insessorial,Eastern Forest,8839477.95277886,8898125.93208851,58647.979309648275,283747242.28420144,285629842.42004114,1882600.1358397007
Great Egret,Ardea alba,871.3,Aquatic predator,Terrestrial,Wetland,281043.846609151,870550.25885258,589506.412243429,244873503.55055323,758510440.538253,513636936.98769975
Great Gray Owl,Strix nebulosa,1061.9,Vertivore,Insessorial,Boreal Forest,48522.2910289312,84357.7624910023,35835.4714620711,51525820.843622044,89579507.98919535,38053687.1455733
Great Horned Owl,Bubo virginianus,1354.5,Vertivore,Insessorial,Habitat Generalist,4328148.80419565,3803345.8518302,-524802.9523654501,5862477555.283008,5151631956.304006,-710845598.979002
Great-tailed Grackle,Quiscalus mexicanus,160.5,Omnivore,Terrestrial,Habitat Generalist,3548734.88126728,10176940.9998513,6628206.11858402,569571948.4433985,1633399030.4761336,1063827082.0327351
Greater Prairie-Chicken,Tympanuchus cupido,870.1,Granivore,Terrestrial,Grassland,129321.07577436,572405.461725292,443084.38595093205,112522268.03127064,498049992.2471766,385527724.21590596
Greater Roadrunner,Geococcyx californianus,376,Invertivore,Terrestrial,Aridlands,613724.156182434,938056.826377516,324332.6701950821,230760282.72459516,352709366.71794605,121949083.9933509
Greater Sage-Grouse,Centrocercus urophasianus,1902.5,Herbivore terrestrial,Terrestrial,Aridlands,1105634.83457498,435293.349820135,-670341.484754845,2103470272.7788994,828145598.0328068,-1275324674.7460928
Greater Scaup,Aythya marila,1005.4,Aquatic predator,Aquatic,Arctic Tundra,2716460.88496656,1698924.26793886,-1017536.6170277002,2731129773.7453794,1708098458.9857297,-1023031314.7596498
Greater White-fronted Goose,Anser albifrons,2506.4,Herbivore terrestrial,Terrestrial,Arctic Tundra,3384015.06342766,6592340.29409888,3208325.23067122,8481695354.975088,16523041713.129435,8041346358.154346
Greater Yellowlegs,Tringa melanoleuca,161.7,Aquatic predator,Terrestrial,Wetland,111148.914245236,139348.436705634,28199.522460398002,17972779.43345466,22532642.215301014,4559862.781846356
Green Heron,Butorides virescens,201.5,Aquatic predator,Terrestrial,Wetland,1630429.05459166,690106.675067655,-940322.3795240049,328531454.50021946,139056495.0261325,-189474959.47408697
Green Jay,Cyanocorax yncas,78.5,Omnivore,Insessorial,Aridlands,3227.73265836183,99663.8996397649,96436.16698140308,253377.01368140365,7823616.121721545,7570239.108040142
Green-tailed Towhee,Pipilo chlorurus,29.4,Omnivore,Generalist,Aridlands,5680554.26903437,4751470.8863653,-929083.3826690698,167008295.50961047,139693244.05913982,-27315051.450470656
Green-winged Teal,Anas crecca,341.9,Herbivore aquatic,Aquatic,Wetland,2134776.82924325,4190899.2161722,2056122.38692895,729880197.91826725,1432868442.0092752,702988244.091008
Groove-billed Ani,Crotophaga sulcirostris,82,Invertivore,Terrestrial,Habitat Generalist,8416.31659753479,5093.02964784152,-3323.286949693269,690137.9609978527,417628.43112300464,-272509.5298748481
Gull-billed Tern,Gelochelidon nilotica,218.3,Omnivore,Aerial,Coasts,6808.79530097777,10304.2264887958,3495.4311878180306,1486360.0142034474,2249412.6425041235,763052.6283006761
Gyrfalcon,Falco rusticolus,1431.7,Vertivore,Aerial,Arctic Tundra,54994.9926125486,41403.8925536941,-13591.1000588545,78736330.92338583,59277952.96912385,-19458377.95426198
Hairy Woodpecker,Dryobates villosus,62.7,Invertivore,Insessorial,Forest Generalist,6162082.63845295,9265799.76451349,3103717.126060541,386362581.431,580965645.2349958,194603063.80399585
Hammond's Flycatcher,Empidonax hammondii,10.4,Invertivore,Insessorial,Western Forest,16107686.8070409,20793625.2875662,4685938.4805253,167519942.79322538,216253702.99068847,48733760.197463095
Harlequin Duck,Histrionicus histrionicus,561.6,Aquatic predator,Aquatic,Wetland,255544.460930304,221859.699842555,-33684.76108774898,143513769.25845873,124596407.4315789,-18917361.82687983
Harris's Hawk,Parabuteo unicinctus,850.3,Vertivore,Insessorial,Aridlands,94763.8291167908,48068.121229202,-46695.707887588804,80577683.89800721,40872323.48119046,-39705360.416816756
Harris's Sparrow,Zonotrichia querula,35.5,Omnivore,Terrestrial,Arctic Tundra,4571163.41823258,1972647.28627487,-2598516.13195771,162276301.34725657,70028978.66275789,-92247322.68449868
Henslow's Sparrow,Centronyx henslowii,12.8,Omnivore,Generalist,Grassland,687155.759109033,511323.907143009,-175831.85196602403,8795593.716595624,6544946.011430516,-2250647.7051651077
Hepatic Tanager,Piranga flava,37.7,Invertivore,Insessorial,Western Forest,139394.791524564,517174.592346556,377779.800821992,5255183.640476063,19497482.131465163,14242298.4909891
Hermit Thrush,Catharus guttatus,30.1,Invertivore,Generalist,Forest Generalist,63069665.9528703,72438302.534117,9368636.581246696,1898396945.1813962,2180392906.2769217,281995961.0955255
Hermit Warbler,Setophaga occidentalis,10.4,Invertivore,Insessorial,Western Forest,2830262.32669553,2515108.90238024,-315153.42431529006,29434728.197633516,26157132.584754497,-3277595.612879019
Herring Gull,Larus argentatus,1091,Aquatic predator,Generalist,Wetland,12881281.4151599,2372526.03715346,-10508755.37800644,14053478023.939451,2588425906.534425,-11465052117.405025
Hoary Redpoll,Acanthis hornemanni,13.9,Granivore,Generalist,Arctic Tundra,7145517.01802759,17052574.2570671,9907057.23903951,99322686.5505835,237030782.17323267,137708095.6226492
Hooded Merganser,Lophodytes cucullatus,613.8,Aquatic predator,Aquatic,Wetland,101590.594565777,858236.178844543,756645.5842787661,62356306.94447392,526785366.57478046,464429059.63030654
Hooded Oriole,Icterus cucullatus,24.3,Omnivore,Insessorial,Aridlands,221785.859201736,403834.925051064,182049.065849328,5389396.378602184,9813188.678740855,4423792.300138671
Hooded Warbler,Setophaga citrina,10.5,Invertivore,Insessorial,Eastern Forest,2967065.37416997,5589806.21919458,2622740.84502461,31154186.428784683,58692965.30154309,27538778.872758403
Horned Grebe,Podiceps auritus,453,Aquatic predator,Aquatic,Wetland,452496.709976854,248472.17237388,-204024.537602974,204981009.61951485,112557894.08536763,-92423115.53414722
Horned Lark,Eremophila alpestris,33.3,Omnivore,Terrestrial,Grassland,270894012.885923,88198628.6279193,-182695384.2580037,9020770629.101236,2937014333.3097124,-6083756295.791524
House Finch,Haemorhous mexicanus,21.4,Granivore,Insessorial,Habitat Generalist,31106399.7730652,33280226.0239117,2173826.2508465014,665676955.1435952,712196836.9117104,46519881.76811516
House Sparrow,Passer domesticus,26.5,Granivore,Terrestrial,Introduced,407852769.4026,76944308.3608929,-330908461.0417071,10808098389.1689,2039024171.563662,-8769074217.605238
House Wren,Troglodytes aedon,10.9,Invertivore,Insessorial,Forest Generalist,39332268.1227248,45506186.8034292,6173918.6807044,428721722.53770036,496017436.1573783,67295713.61967796
Hudsonian Godwit,Limosa haemastica,253.3,Aquatic predator,Terrestrial,Wetland,202000.985118589,78919.3591975558,-123081.62592103319,51166849.53053859,19990273.684740882,-31176575.845797706
Hutton's Vireo,Vireo huttoni,11.3,Invertivore,Insessorial,Western Forest,630922.869500632,1017174.35118604,386251.4816854079,7129428.425357142,11494070.168402253,4364641.74304511
Inca Dove,Columbina inca,47.5,Granivore,Terrestrial,Aridlands,306897.668561412,633971.543720981,327073.87515956897,14577639.25666707,30113648.326746598,15536009.070079528
Indigo Bunting,Passerina cyanea,14.7,Granivore,Terrestrial,Eastern Forest,103686087.166471,72157376.5563904,-31528710.6100806,1524185481.3471236,1060713435.3789389,-463472045.9681847
Juniper Titmouse,Baeolophus ridgwayi,15.9,Invertivore,Insessorial,Western Forest,230092.69703313,309204.173953448,79111.476920318,3658473.8828267674,4916346.365859823,1257872.483033056
Kentucky Warbler,Geothlypis formosa,14,Invertivore,Generalist,Eastern Forest,3737602.40622112,2525605.55853112,-1211996.8476900002,52326433.68709568,35358477.81943568,-16967955.86766
Killdeer,Charadrius vociferus,96.4,Omnivore,Terrestrial,Habitat Generalist,3032397.10209997,1981794.3410627,-1050602.76103727,292323080.6424371,191044974.47844428,-101278106.16399282
King Eider,Somateria spectabilis,1616.7,Aquatic predator,Aquatic,Arctic Tundra,4260023.72839872,261236.924051188,-3998786.804347532,6887180361.70221,422341735.1135556,-6464838626.5886545
King Rail,Rallus elegans,313.3,Aquatic predator,Terrestrial,Wetland,381618.911347023,50368.9754615478,-331249.9358854752,119561204.9250223,15780600.012102926,-103780604.91291937
Ladder-backed Woodpecker,Dryobates scalaris,31.6,Invertivore,Insessorial,Aridlands,2155856.76094703,2458308.68780217,302451.9268551399,68125073.64592615,77682554.53454858,9557480.888622433
Lapland Longspur,Calcarius lapponicus,27.8,Granivore,Terrestrial,Arctic Tundra,77314678.8458823,74288260.2624103,-3026418.5834719986,2149348071.915528,2065213635.2950063,-84134436.62052155
Lark Bunting,Calamospiza melanocorys,37.6,Omnivore,Generalist,Grassland,43198856.6569345,11276660.8289658,-31922195.8279687,1624277010.3007371,424002447.1691141,-1200274563.131623
Lark Sparrow,Chondestes grammacus,29,Granivore,Generalist,Grassland,15020499.8750121,10662043.4182409,-4358456.4567712005,435594496.3753509,309199259.12898606,-126395237.24636483
Laughing Gull,Leucophaeus atricilla,307.4,Aquatic predator,Aerial,Coasts,364579.058630992,798828.152219692,434249.0935887,112071602.62316693,245559773.9923333,133488171.36916636
Lawrence's Goldfinch,Spinus lawrencei,10.9,Granivore,Terrestrial,Aridlands,451329.973814213,346617.691427191,-104712.28238702199,4919496.714574922,3778132.8365563825,-1141363.8780185394
Lazuli Bunting,Passerina amoena,15.5,Omnivore,Insessorial,Western Forest,5659613.59568376,6852679.78396174,1193066.1882779803,87724010.73309828,106216536.65140697,18492525.91830869
Least Bittern,Ixobrychus exilis,86.3,Aquatic predator,Terrestrial,Wetland,104161.884044519,140818.101952809,36656.21790829,8989170.59304199,12152602.198527416,3163431.6054854263
Least Flycatcher,Empidonax minimus,10,Invertivore,Insessorial,Eastern Forest,55832203.7976439,24291077.5373228,-31541126.2603211,558322037.976439,242910775.373228,-315411262.603211
Least Sandpiper,Calidris minutilla,22.9,Aquatic predator,Terrestrial,Wetland,786857.464339471,742964.460495706,-43893.00384376501,18019035.933373883,17013886.145351667,-1005149.7880222164
Least Tern,Sternula antillarum,45.9,Aquatic predator,Aerial,Coasts,206230.062646993,48968.1600837837,-157261.9025632093,9465959.875496978,2247638.547845672,-7218321.327651306
LeConte's Sparrow,Ammospiza leconteii,13,Granivore,Generalist,Grassland,12629184.6130861,4492836.50417427,-8136348.108911831,164179399.9701193,58406874.55426551,-105772525.4158538
LeConte's Thrasher,Toxostoma lecontei,61.9,Invertivore,Terrestrial,Aridlands,103797.102228701,43059.4802173129,-60737.6220113881,6425040.627956592,2665381.8254516684,-3759658.802504923
Lesser Goldfinch,Spinus psaltria,8.8,Granivore,Insessorial,Western Forest,3988160.53512079,6181243.12760626,2193082.5924854698,35095812.709062956,54394939.52293509,19299126.813872136
Lesser Nighthawk,Chordeiles acutipennis,48.4,Invertivore,Aerial,Aridlands,3721310.91738136,3891786.73741096,170475.8200295996,180111448.40125784,188362478.09069043,8251029.689432591
Lesser Scaup,Aythya affinis,819.5,Aquatic predator,Aquatic,Wetland,4191717.71362434,2967831.39687177,-1223886.3167525702,3435112666.3151464,2432137829.7364154,-1002974836.5787311
Lesser Yellowlegs,Tringa flavipes,77.5,Aquatic predator,Terrestrial,Wetland,1711961.26943047,621949.010337706,-1090012.259092764,132676998.38086142,48201048.30117221,-84475950.0796892
Lewis's Woodpecker,Melanerpes lewis,105.8,Invertivore,Insessorial,Western Forest,185112.701086074,76494.1164521915,-108618.58463388249,19584923.774906628,8093077.5206418615,-11491846.254264766
Limpkin,Aramus guarauna,1080,Aquatic predator,Terrestrial,Wetland,21022.5254898052,20997.986462485,-24.53902732019924,22704327.528989617,22677825.3794838,-26502.1495058164
Lincoln's Sparrow,Melospiza lincolnii,16.6,Omnivore,Generalist,Boreal Forest,89838556.1725998,87484926.3865474,-2353629.786052406,1491320032.465157,1452249778.016687,-39070254.448470116
Little Blue Heron,Egretta caerulea,338.6,Aquatic predator,Terrestrial,Wetland,477144.836968347,251865.119068153,-225279.71790019402,161561241.7974823,85281529.31647661,-76279712.4810057
Loggerhead Shrike,Lanius ludovicianus,51.6,Invertivore,Insessorial,Grassland,14441182.7278365,4251497.6731732,-10189685.0546633,745165028.7563635,219377279.93573713,-525787748.8206264
Long-billed Curlew,Numenius americanus,583.9,Omnivore,Terrestrial,Grassland,141518.066683534,144811.762554689,3293.6958711549814,82632399.1365155,84555588.15568289,1923189.0191673934
Long-billed Dowitcher,Limnodromus scolopaceus,104.4,Aquatic predator,Terrestrial,Arctic Tundra,232201.545453255,320950.810133703,88749.26468044799,24241841.345319822,33507264.577958595,9265423.232638773
Long-billed Thrasher,Toxostoma longirostre,67.6,Invertivore,Terrestrial,Aridlands,10840.2655845803,138755.802646406,127915.5370618257,732801.9535176283,9379892.258897044,8647090.305379415
Long-eared Owl,Asio otus,296.6,Vertivore,Aerial,Forest Generalist,90674.4483048283,34703.7381549939,-55970.7101498344,26894041.367212076,10293128.736771192,-16600912.630440883
Long-tailed Duck,Clangula hyemalis,871,Aquatic predator,Aquatic,Arctic Tundra,2995319.93619084,854794.152444006,-2140525.783746834,2608923664.4222217,744525706.7787292,-1864397957.6434925
Louisiana Waterthrush,Parkesia motacilla,19.9,Invertivore,Terrestrial,Eastern Forest,333458.48545347,484113.292969131,150654.807515661,6635823.860524053,9633854.530085707,2998030.6695616543
Lucy's Warbler,Leiothlypis luciae,6.6,Invertivore,Insessorial,Aridlands,1883659.57371995,3073073.35854976,1189413.7848298103,12432153.18655167,20282284.166428417,7850130.979876747
MacGillivray's Warbler,Geothlypis tolmiei,10.4,Invertivore,Generalist,Western Forest,16420980.588981,10577877.7969894,-5843102.791991601,170778198.12540242,110009929.08868976,-60768269.03671266
Magnolia Warbler,Setophaga magnolia,8.1,Invertivore,Insessorial,Boreal Forest,31054498.4921626,40844465.1070694,9789966.614906803,251541437.78651705,330840167.3672621,79298729.58074507
Mallard,Anas platyrhynchos,843.4,Herbivore aquatic,Aquatic,Wetland,10278975.734949,12367745.0253157,2088769.2903667,8669288134.855986,10430956154.351261,1761668019.4952755
Marbled Godwit,Limosa fedoa,357,Aquatic predator,Terrestrial,Wetland,237100.157664544,172288.125047182,-64812.03261736201,84644756.28624222,61506860.641843975,-23137895.644398242
Marbled Murrelet,Brachyramphus marmoratus,220,Aquatic predator,Aquatic,Coasts,591534.064829049,555876.772990921,-35657.291838128,130137494.26239079,122292890.05800264,-7844604.2043881565
Marsh Wren,Cistothorus palustris,10.8,Invertivore,Insessorial,Wetland,4892680.77290845,12727356.2773473,7834675.50443885,52840952.34741127,137455447.79535085,84614495.44793957
