species,sci_name,mass,trophic_niche1,trophic_niche2,Breeding.Biome,start_abd,end_abd,abd_change,biomass_start,biomass_end,biomass_change
Baltimore Oriole,Icterus galbula,32.8,Invertivore,Insessorial,Eastern Forest,19770884.0868196,11142502.1380434,-8628381.9487762,648484998.0476829,365474070.1278235,-283010927.9198594
Band-tailed Pigeon,Patagioenas fasciata,366.3,Granivore,Terrestrial,Western Forest,2845633.53811558,1418986.67902646,-1426646.85908912,1042355565.011737,519774820.5273923,-522580744.48434466
Bank Swallow,Riparia riparia,12.7,Invertivore,Aerial,Habitat Generalist,63676132.7191973,7614871.5725893,-56061261.146608,808686885.5338057,96708868.9718841,-711978016.5619216
Barn Owl,Tyto alba,403.3,Vertivore,Insessorial,Habitat Generalist,52057.4318774102,163023.605149435,110966.1732720248,20994762.276159532,65747419.956767134,44752657.6806076
Barn Swallow,Hirundo rustica,17.9,Invertivore,Aerial,Habitat Generalist,70712333.9716031,44467170.8763681,-26245163.095234998,1265750778.0916953,795962358.686989,-469788419.40470636
Barred Owl,Strix varia,711.5,Vertivore,Insessorial,Forest Generalist,1815801.38726814,3959655.60599017,2143854.21872203,1291942687.0412817,2817294963.662006,1525352276.6207242
Barrow's Goldeneye,Bucephala islandica,921.2,Aquatic predator,Aquatic,Wetland,316955.52064472,183236.868720735,-133718.65192398502,291979425.6179161,168797803.46554106,-123181622.15237504
Bay-breasted Warbler,Setophaga castanea,11.8,Invertivore,Insessorial,Boreal Forest,11931783.9485965,10323656.1246203,-1608127.8239762,140795050.5934387,121819142.27051954,-18975908.322919175
Bell's Sparrow,Artemisiospiza belli,17,Granivore,Terrestrial,Aridlands,234874.028631035,217782.667458463,-17091.36117257201,3992858.4867275953,3702305.346793871,-290553.1399337244
Bell's Vireo,Vireo bellii,8.5,Invertivore,Insessorial,Aridlands,3516363.54452726,5319361.80304741,1802998.25852015,29889090.128481712,45214575.32590298,15325485.197421271
Belted Kingfisher,Megaceryle alcyon,148,Aquatic predator,Insessorial,Wetland,3254297.69239274,1698923.6569545,-1555374.03543824,481636058.4741255,251440701.229266,-230195357.24485952
Bendire's Thrasher,Toxostoma bendirei,62.2,Omnivore,Generalist,Aridlands,321394.13132616,45943.6991604773,-275450.43216568267,19990714.96848715,2857698.087781688,-17133016.88070546
Bewick's Wren,Thryomanes bewickii,9.9,Invertivore,Generalist,Aridlands,6308399.19565542,4428960.83739626,-1879438.35825916,62453152.03698867,43846712.29022298,-18606439.746765688
Black Guillemot,Cepphus grylle,378,Aquatic predator,Aquatic,Coasts,448483.918391326,1420411.90220224,971927.983810914,169526921.1519212,536915699.0324467,367388777.8805255
Black Oystercatcher,Haematopus bachmani,582,Aquatic predator,Terrestrial,Coasts,2745.64384797323,12349.339439077101,9603.695591103871,1597964.7195204198,7187315.553542873,5589350.834022453
Black Phoebe,Sayornis nigricans,18.6,Invertivore,Insessorial,Wetland,424547.617593362,1401641.37117379,977093.753580428,7896585.6872365335,26070529.503832497,18173943.816595964
Black Scoter,Melanitta americana,1117,Aquatic predator,Aquatic,Arctic Tundra,704851.778644613,333863.48757649,-370988.291068123,787319436.7460327,372925515.6229393,-414393921.1230934
Black Skimmer,Rynchops niger,297.7,Aquatic predator,Aerial,Coasts,59938.6377046481,20681.4970790631,-39257.140625585,17843732.44467374,6156881.680437085,-11686850.764236655
Black Swift,Cypseloides niger,39.7,Invertivore,Aerial,Western Forest,748240.609069551,73212.7859024809,-675027.82316707,29705152.180061176,2906547.600328492,-26798604.579732686
Black Tern,Chlidonias niger,65.3,Aquatic predator,Aerial,Wetland,5431206.7296145,2616959.70634772,-2814247.0232667797,354657799.44382685,170887468.82450613,-183770330.61932072
Black Turnstone,Arenaria melanocephala,126.2,Aquatic predator,Terrestrial,Coasts,109003.948725641,95022.3296127481,-13981.619112892906,13756298.329175895,11991817.99712881,-1764480.3320470843
Black Vulture,Coragyps atratus,1881.7,Scavenger,Terrestrial,Habitat Generalist,302794.734955223,2639251.75285337,2336457.017898147,569768852.765243,4966280023.344186,4396511170.578943
Black-and-white Warbler,Mniotilta varia,10.9,Invertivore,Insessorial,Eastern Forest,23731927.8385151,17004788.85752,-6727138.9809951,258678013.4398146,185352198.54696798,-73325814.89284661
Black-backed Woodpecker,Picoides arcticus,69.2,Invertivore,Insessorial,Boreal Forest,754895.942674163,2071432.16189096,1316536.219216797,52238799.23305208,143343105.60285443,91104306.36980236
Black-bellied Plover,Pluvialis squatarola,250,Aquatic predator,Terrestrial,Arctic Tundra,660833.585968803,348153.881459048,-312679.704509755,165208396.49220076,87038470.36476201,-78169926.12743875
