year,mean_Aquatic_predator,upper97p5_Aquatic_predator,lower2p5_Aquatic_predator,mean_Frugivore,upper97p5_Frugivore,lower2p5_Frugivore,mean_Granivore,upper97p5_Granivore,lower2p5_Granivore,mean_Herbivore_aquatic,upper97p5_Herbivore_aquatic,lower2p5_Herbivore_aquatic,mean_Herbivore_terrestrial,upper97p5_Herbivore_terrestrial,lower2p5_Herbivore_terrestrial,mean_Invertivore,upper97p5_Invertivore,lower2p5_Invertivore,mean_Nectarivore,upper97p5_Nectarivore,lower2p5_Nectarivore,mean_Omnivore,upper97p5_Omnivore,lower2p5_Omnivore,mean_Scavenger,upper97p5_Scavenger,lower2p5_Scavenger,mean_Vertivore,upper97p5_Vertivore,lower2p5_Vertivore
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,-0.29841299391630655,6.764190565999387,-6.284653806740808,0.3799757344768891,4.822702699830177,-4.237359629673973,-0.8832586033538756,1.2882518908401517,-3.0016171470612756,-0.4110236865665553,2.791108570189668,-3.4223993313654693,-0.3536229517836185,2.884869015521877,-3.5082719125194353,-0.6012525894608175,0.8369917572106664,-1.9789655440889264,-0.21515381379909515,3.1628728927994945,-3.557427787310241,-0.7841629034557707,1.0496487078363417,-2.581107328825576,0.1189691856784633,5.289575793433642,-4.604497172889035,-0.27724854166845403,2.4891009165616165,-3.031933615020368
1972,-0.6319858509689759,6.15055873067941,-7.177530506520162,0.5234387923033831,4.822977762607677,-3.591302670731882,-1.807831886368149,0.21749667470519818,-3.83999626491612,-0.8278902144733976,2.2897476262283076,-3.8961556886154103,-0.8737893978355125,2.514849766317845,-4.18689383167391,-1.2857529429545709,0.03669878139361251,-2.622712283676443,-0.36635212566038766,2.9570417167249334,-3.5943257683592553,-1.6875780801081246,0.2061282463512215,-3.4484195765242474,0.4732954817974001,5.629797065851627,-4.1456573674196555,-0.33804483893048115,2.2300268329291795,-2.938953933814167
1973,-0.9042415043877928,5.889246836160935,-7.367164704750943,0.917287479174177,5.681873497388466,-3.504800641136224,-2.7458909990094313,-0.5961063650913054,-4.904725883716525,-1.3011539685515865,2.2348807775986437,-4.586758921204568,-1.191937748768887,1.9529432257846717,-4.299397353429689,-1.9444127150801727,-0.6995759769125764,-3.1754284545830505,-0.6834053751276455,2.623254104502718,-3.7726649695855308,-2.5501386528247534,-0.8078893544610458,-4.275067483937587,1.571620952994283,7.650965453751738,-3.9054714295241797,-0.3564246819851011,2.4100247026074997,-3.07500918906972
1974,-1.088157830261556,5.760097701813617,-7.227772525086486,1.3589254352604776,6.722887987603921,-4.260024956975246,-3.6937423914239123,-1.3418919615966647,-5.98083462689293,-2.070021746725765,1.6684270082341295,-6.017860500605289,-1.4972350142330397,1.637193764323684,-5.0098189480395545,-2.765021219064544,-1.4420948523426642,-4.072594543538337,-0.9879597797928251,2.541455135985663,-4.414572111084105,-3.399412024117358,-1.4829146931427006,-5.066821822006476,3.910537716820681,10.593717460994473,-2.221973798219219,-0.13060615767456465,2.8741890167657074,-3.1515982179974156
1975,-1.5464686205106706,4.823417751264064,-7.75867032072148,2.022577764933397,8.616039422841332,-4.347208091268427,-4.853664620402501,-2.6306476354847974,-7.241876435909941,-3.013359637694658,1.298797704287302,-7.480657178120534,-1.841607077572826,2.418095127016664,-5.9164817155128695,-3.741090423369049,-2.272440281065017,-5.078317571111539,-1.5603089646417003,2.5434467621249137,-5.6060534948989345,-4.471392321027328,-2.560797639043134,-6.2242453314756405,6.92570215387257,14.344860152512602,-0.03484364041874185,0.42114785796821136,3.7292126674665367,-2.7836592225408916
1976,-1.8101664509630149,4.766161711273165,-7.903180021501993,3.147474465726817,10.399768666403244,-4.305312315875585,-6.107315080843456,-3.8527362096969173,-8.340055512652203,-4.4498477319337155,0.6611085764619553,-9.30739717089644,-1.8000940578380755,3.306383347842858,-6.668535015610591,-4.7438541182709875,-3.2639651832995114,-6.2472541047389525,-2.260679837389764,2.0167373481359876,-6.599594432152172,-5.456252661694366,-3.6133325094496045,-7.3668115586143115,9.926064968881242,17.552308706094376,2.6853959868081216,0.9865027395464726,4.388973329989655,-2.4691340078457125
1977,-2.1882753346266743,4.8813597375685065,-8.934603928376367,4.169877792354883,12.696343542472054,-3.4409287912973863,-7.455416665935961,-5.067258427166648,-9.738618542884767,-5.868046200576358,-0.49040215023360517,-10.838981499306689,-1.466366366078189,4.807181641591213,-7.541751661992567,-5.6954554458258935,-4.164730490735554,-7.176287262210856,-3.3352819561165625,1.3159606750437949,-8.336677152037558,-6.586407924143343,-4.45524761690012,-8.578854033349744,12.945993574984943,20.781806706514434,5.871361359780345,1.3918806365643166,4.940264097778071,-1.9474413151651926
1978,-3.0534021987857964,3.7082535250849107,-10.576242490603057,4.997251768505478,13.662169823604321,-3.1182541389325946,-8.730439377916746,-6.375088867447365,-11.176399970176536,-7.674993248300884,-1.6009458303172777,-13.379981540095196,-0.9677210925370472,6.683672737252266,-8.334525493092654,-6.671814553459025,-5.1698887679056895,-8.187178892524338,-4.830467539151312,0.32853410204102407,-10.20360921160727,-7.663885426712869,-5.5429407687039856,-9.675430764505686,15.53460950536135,23.02380627300594,8.509268198013359,1.8795794631279341,5.430085172357268,-1.3982603524686463
1979,-3.7448019623893214,3.672621181032778,-10.557478113418929,6.187468020634727,14.599819399911532,-2.2834072824015745,-9.980894670990812,-7.669496185494051,-12.396646017667937,-9.905885766558747,-3.8404894841974735,-15.878278287837082,-0.47086846383810427,8.604571685140614,-8.570037955203457,-7.62197095468293,-5.938034969376438,-9.286797600714948,-5.962241458046242,-0.45881997985326556,-11.64519327778874,-8.773247510650199,-6.623406521304274,-10.730886738052241,18.357838604288904,26.70586494658953,10.524643147925286,2.253189850773494,5.850809239004752,-1.3255213890272257
1980,-4.829414753303057,2.9819180577092275,-11.863496645563494,7.3897597250748905,16.864237626197593,-1.2027987733272796,-11.150917628280215,-8.637672318083903,-13.607292561907794,-12.776688323346352,-6.657218410018071,-18.77320542532169,0.9718332850072348,12.78493678037415,-8.500950977108507,-8.502689358239675,-6.880463151542264,-10.062595320709214,-7.209291899608987,-2.0769924771079835,-12.633591535002994,-9.724742097597817,-7.516700522677469,-11.873268932759991,21.45319046241218,29.656822932299605,13.83657005079814,2.7576629770564893,6.433626262773371,-0.6484169103258455
