species,sci_name,mass,trophic_niche1,trophic_niche2
Brandt's Cormorant,Urile pelagicus,1844,Aquatic predator,Aquatic
Brant,Branta bernicla,1277.9,Herbivore terrestrial,Terrestrial
Brewer's Blackbird,Euphagus cyanocephalus,62.5,Omnivore,Terrestrial
Brewer's Sparrow,Spizella breweri,10.9,Omnivore,Generalist
Bridled Titmouse,Baeolophus wollweberi,10.4,Invertivore,Insessorial
Broad-tailed Hummingbird,Selasphorus platycercus,3.5,Nectarivore,Aerial
Broad-winged Hawk,Buteo platypterus,453.7,Vertivore,Insessorial
Bronzed Cowbird,Molothrus aeneus,62.6,Granivore,Terrestrial
Brown-crested Flycatcher,Myiarchus tyrannulus,35.5,Invertivore,Insessorial
Brown-headed Cowbird,Molothrus ater,40.3,Invertivore,Terrestrial
Brown-headed Nuthatch,Sitta pusilla,10.2,Invertivore,Insessorial
Brown Creeper,Certhia americana,8.1,Invertivore,Insessorial
Brown Pelican,Pelecanus occidentalis,3427.8,Aquatic predator,Aerial
Brown Thrasher,Toxostoma rufum,68.8,Omnivore,Generalist
Buff-breasted Sandpiper,Calidris subruficollis,62.1,Omnivore,Terrestrial
Bufflehead,Bucephala albeola,397.5,Aquatic predator,Aquatic
Bullock's Oriole,Icterus bullockii,37.9,Invertivore,Insessorial
Burrowing Owl,Athene cunicularia,150.6,Vertivore,Generalist
Bushtit,Psaltriparus minimus,5.3,Invertivore,Insessorial
Cackling Goose,Branta hutchinsii,2811.7,Herbivore terrestrial,Terrestrial
Cactus Wren,Campylorhynchus brunneicapillus,38.9,Invertivore,Insessorial
California Gull,Larus californicus,683.4,Omnivore,Terrestrial
California Quail,Callipepla californica,165.7,Omnivore,Terrestrial
California Scrub-Jay,Aphelocoma californica,85.7,Omnivore,Terrestrial
California Thrasher,Toxostoma redivivum,84.4,Invertivore,Generalist
California Towhee,Melozone crissalis,52.8,Granivore,Generalist
Calliope Hummingbird,Selasphorus calliope,2.6,Nectarivore,Aerial
Canada Goose,Branta canadensis,2811.7,Herbivore terrestrial,Terrestrial
Canada Jay,Perisoreus canadensis,71.6,Omnivore,Insessorial
Canada Warbler,Cardellina canadensis,10,Invertivore,Insessorial
Canvasback,Aythya valisineria,1202,Herbivore aquatic,Aquatic
