species,sci_name,mass,trophic_niche1,trophic_niche2
Red-winged Blackbird,Agelaius phoeniceus,50.8,Granivore,Generalist
Red Crossbill,Loxia curvirostra,38.3,Granivore,Insessorial
Red Knot,Calidris canutus,141.9,Aquatic predator,Terrestrial
Reddish Egret,Egretta rufescens,614,Aquatic predator,Terrestrial
Redhead,Aythya americana,1075.7,Herbivore aquatic,Aquatic
Rhinoceros Auklet,Cerorhinca monocerata,482.2,Aquatic predator,Aquatic
Ring-billed Gull,Larus delawarensis,516.3,Omnivore,Terrestrial
Ring-necked Duck,Aythya collaris,704.6,Herbivore aquatic,Aquatic
Ring-necked Pheasant,Phasianus colchicus,1120.3,Omnivore,Terrestrial
Rock Pigeon,Columba livia,354.2,Granivore,Terrestrial
Rock Sandpiper,Calidris ptilocnemis,81.3,Aquatic predator,Terrestrial
Rock Wren,Salpinctes obsoletus,16.4,Invertivore,Terrestrial
Rose-breasted Grosbeak,Pheucticus ludovicianus,42,Omnivore,Insessorial
Roseate Spoonbill,Platalea ajaja,1490,Aquatic predator,Terrestrial
Ross's Goose,Anser rossii,1636,Herbivore terrestrial,Terrestrial
Rough-legged Hawk,Buteo lagopus,949.8,Vertivore,Insessorial
Royal Tern,Thalasseus maximus,415.3,Aquatic predator,Aerial
Ruby-crowned Kinglet,Corthylio calendula,6.2,Invertivore,Insessorial
Ruby-throated Hummingbird,Archilochus colubris,3.1,Nectarivore,Generalist
Ruddy Duck,Oxyura jamaicensis,608.2,Aquatic predator,Aquatic
Ruddy Turnstone,Arenaria interpres,136,Aquatic predator,Terrestrial
Ruffed Grouse,Bonasa umbellus,530.9,Herbivore terrestrial,Generalist
Rufous-crowned Sparrow,Aimophila ruficeps,18.7,Granivore,Generalist
Rufous Hummingbird,Selasphorus rufus,3.5,Nectarivore,Aerial
Rusty Blackbird,Euphagus carolinus,59.6,Omnivore,Terrestrial
Sage Thrasher,Oreoscoptes montanus,44.2,Invertivore,Terrestrial
Sagebrush Sparrow,Artemisiospiza nevadensis,18.5,Granivore,Terrestrial
Sanderling,Calidris alba,51.7,Aquatic predator,Terrestrial
Sandhill Crane,Antigone canadensis,4296.2,Omnivore,Terrestrial
Sandwich Tern,Thalasseus sandvicensis,199.8,Aquatic predator,Aerial
Savannah Sparrow,Passerculus sandwichensis,20,Omnivore,Generalist
Say's Phoebe,Sayornis saya,20.9,Invertivore,Insessorial
Scaled Quail,Callipepla squamata,183.9,Omnivore,Terrestrial
Scarlet Tanager,Piranga olivacea,28.2,Invertivore,Insessorial
Scissor-tailed Flycatcher,Tyrannus forficatus,39.3,Invertivore,Insessorial
Scott's Oriole,Icterus parisorum,36.5,Invertivore,Insessorial
Seaside Sparrow,Ammospiza maritima,22.2,Invertivore,Terrestrial
Sedge Wren,Cistothorus platensis,9,Invertivore,Insessorial
Semipalmated Plover,Charadrius semipalmatus,46.7,Aquatic predator,Terrestrial
Semipalmated Sandpiper,Calidris pusilla,27.5,Aquatic predator,Terrestrial
Sharp-shinned Hawk,Accipiter striatus,130.6,Vertivore,Aerial
Sharp-tailed Grouse,Tympanuchus phasianellus,882.4,Herbivore terrestrial,Terrestrial
Short-billed Dowitcher,Limnodromus griseus,110.5,Aquatic predator,Terrestrial
Short-eared Owl,Asio flammeus,322.6,Vertivore,Aerial
Smith's Longspur,Calcarius pictus,26.7,Granivore,Terrestrial
Snow Bunting,Plectrophenax nivalis,42.2,Granivore,Terrestrial
Snow Goose,Anser caerulescens,2636.2,Herbivore terrestrial,Terrestrial
Snowy Egret,Egretta thula,371,Aquatic predator,Terrestrial
Snowy Owl,Bubo scandiacus,2028.8,Vertivore,Insessorial
Snowy Plover,Charadrius nivosus,42.3,Aquatic predator,Terrestrial
Solitary Sandpiper,Tringa solitaria,48.4,Aquatic predator,Terrestrial
Song Sparrow,Melospiza melodia,21.9,Omnivore,Generalist
Sooty Grouse,Dendragapus fuliginosus,1047.3,Herbivore terrestrial,Generalist
Sora,Porzana carolina,74.8,Omnivore,Terrestrial
Spotted Sandpiper,Actitis macularius,40.4,Aquatic predator,Terrestrial
Spotted Towhee,Pipilo maculatus,39.3,Omnivore,Generalist
Sprague's Pipit,Anthus spragueii,25.5,Invertivore,Terrestrial
Spruce Grouse,Canachites canadensis,473.7,Herbivore terrestrial,Terrestrial
Steller's Eider,Polysticta stelleri,806.8,Aquatic predator,Aquatic
Steller's Jay,Cyanocitta stelleri,128,Omnivore,Insessorial
Stilt Sandpiper,Calidris himantopus,57.2,Aquatic predator,Terrestrial
Summer Tanager,Piranga rubra,29.1,Invertivore,Insessorial
Surf Scoter,Melanitta perspicillata,1096.3,Aquatic predator,Aquatic
Surfbird,Calidris virgata,201,Aquatic predator,Terrestrial
Swainson's Hawk,Buteo swainsoni,946.6,Vertivore,Insessorial
Swainson's Thrush,Catharus ustulatus,30.3,Invertivore,Insessorial
Swainson's Warbler,Limnothlypis swainsonii,18.9,Invertivore,Terrestrial
Swallow-tailed Kite,Elanoides forficatus,416.2,Invertivore,Generalist
Swamp Sparrow,Melospiza georgiana,16.1,Omnivore,Generalist
Tennessee Warbler,Leiothlypis peregrina,8.9,Invertivore,Insessorial
Thick-billed Murre,Uria lomvia,964,Aquatic predator,Aquatic
Townsend's Solitaire,Myadestes townsendi,33.2,Omnivore,Insessorial
Townsend's Warbler,Setophaga townsendi,8.8,Invertivore,Insessorial
Tree Swallow,Tachycineta bicolor,21.2,Invertivore,Aerial
Tricolored Blackbird,Agelaius tricolor,57.9,Invertivore,Terrestrial
Tricolored Heron,Egretta tricolor,372.3,Aquatic predator,Terrestrial
Trumpeter Swan,Cygnus buccinator,11071.1,Herbivore aquatic,Aquatic
Tufted Titmouse,Baeolophus bicolor,21.6,Invertivore,Insessorial
Tundra Swan,Cygnus columbianus,6378,Herbivore aquatic,Aquatic
Turkey Vulture,Cathartes aura,1518.2,Scavenger,Terrestrial
Upland Sandpiper,Bartramia longicauda,158.9,Invertivore,Terrestrial
Varied Bunting,Passerina versicolor,12.9,Omnivore,Generalist
Varied Thrush,Ixoreus naevius,77.5,Omnivore,Generalist
Vaux's Swift,Chaetura vauxi,17.1,Invertivore,Aerial
Veery,Catharus fuscescens,31.9,Invertivore,Terrestrial
Verdin,Auriparus flaviceps,6.8,Invertivore,Insessorial
Vermilion Flycatcher,Pyrocephalus rubinus,14.4,Invertivore,Insessorial
Vesper Sparrow,Pooecetes gramineus,25.7,Omnivore,Generalist
Violet-green Swallow,Tachycineta thalassina,14.1,Invertivore,Aerial
Virginia's Warbler,Leiothlypis virginiae,8.2,Invertivore,Insessorial
Virginia Rail,Rallus limicola,84.1,Aquatic predator,Terrestrial
Wandering Tattler,Tringa incana,108.2,Aquatic predator,Terrestrial
Warbling Vireo,Vireo gilvus,12.7,Invertivore,Insessorial
Western Bluebird,Sialia mexicana,26.4,Omnivore,Insessorial
Western Grebe,Aechmophorus occidentalis,1137,Aquatic predator,Aquatic
Western Gull,Larus occidentalis,922.8,Omnivore,Generalist
Western Kingbird,Tyrannus verticalis,39.6,Invertivore,Insessorial
Western Meadowlark,Sturnella neglecta,100.1,Invertivore,Terrestrial
Western Sandpiper,Calidris mauri,27.8,Aquatic predator,Terrestrial
Western Screech-Owl,Megascops kennicottii,141.8,Invertivore,Insessorial
Western Tanager,Piranga ludoviciana,28.1,Invertivore,Insessorial
Western Wood-Pewee,Contopus sordidulus,13.1,Invertivore,Insessorial
Whimbrel,Numenius phaeopus,364.6,Omnivore,Terrestrial
White-breasted Nuthatch,Sitta carolinensis,21,Omnivore,Insessorial
White-crowned Sparrow,Zonotrichia leucophrys,28,Omnivore,Generalist
White-eyed Vireo,Vireo griseus,11.4,Invertivore,Insessorial
White-faced Ibis,Plegadis chihi,616.9,Aquatic predator,Terrestrial
White-headed Woodpecker,Dryobates albolarvatus,61.1,Invertivore,Insessorial
White-rumped Sandpiper,Calidris fuscicollis,43,Aquatic predator,Terrestrial
White-tailed Kite,Elanus leucurus,346,Vertivore,Aerial
White-throated Sparrow,Zonotrichia albicollis,24.4,Omnivore,Terrestrial
White-throated Swift,Aeronautes saxatalis,32.1,Invertivore,Aerial
White-winged Crossbill,Loxia leucoptera,28.7,Omnivore,Insessorial
White-winged Dove,Zenaida asiatica,153,Granivore,Generalist
White-winged Scoter,Melanitta fusca,1800.2,Aquatic predator,Aquatic
White Ibis,Eudocimus albus,889.7,Aquatic predator,Terrestrial
Wild Turkey,Meleagris gallopavo,5791.4,Omnivore,Terrestrial
Willet,Tringa semipalmata,245.7,Aquatic predator,Terrestrial
Williamson's Sapsucker,Sphyrapicus thyroideus,47.6,Invertivore,Insessorial
Willow Flycatcher,Empidonax traillii,13.4,Invertivore,Insessorial
Willow Ptarmigan,Lagopus lagopus,566.9,Herbivore terrestrial,Terrestrial
Wilson's Phalarope,Phalaropus tricolor,59.4,Aquatic predator,Terrestrial
Wilson's Plover,Charadrius wilsonia,55.1,Aquatic predator,Terrestrial
Wilson's Snipe,Gallinago delicata,112.9,Aquatic predator,Terrestrial
Wilson's Warbler,Cardellina pusilla,7,Invertivore,Insessorial
Winter Wren,Troglodytes hiemalis,8.9,Invertivore,Insessorial
Wood Duck,Aix sponsa,657.6,Omnivore,Generalist
Wood Stork,Mycteria americana,2554.5,Aquatic predator,Terrestrial
Wood Thrush,Hylocichla mustelina,50.1,Invertivore,Generalist
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,90.2,Omnivore,Terrestrial
Worm-eating Warbler,Helmitheros vermivorum,14.2,Invertivore,Insessorial
Wrentit,Chamaea fasciata,14.7,Invertivore,Insessorial
Yellow-bellied Flycatcher,Empidonax flaviventris,11.8,Invertivore,Insessorial
Yellow-bellied Sapsucker,Sphyrapicus varius,50.3,Omnivore,Insessorial
Yellow-billed Cuckoo,Coccyzus americanus,64,Invertivore,Insessorial
Yellow-billed Loon,Gavia adamsii,4944.3,Aquatic predator,Aquatic
Yellow-billed Magpie,Pica nuttalli,158.3,Omnivore,Terrestrial
Yellow-breasted Chat,Icteria virens,24.9,Invertivore,Insessorial
Yellow-crowned Night-Heron,Nyctanassa violacea,681.7,Aquatic predator,Terrestrial
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,62.7,Granivore,Terrestrial
Yellow-rumped Warbler,Setophaga coronata,11.9,Invertivore,Insessorial
Yellow-throated Vireo,Vireo flavifrons,18,Invertivore,Insessorial
Yellow-throated Warbler,Setophaga dominica,9.7,Invertivore,Insessorial
Yellow Warbler,Setophaga petechia,10.2,Invertivore,Insessorial
